fecha_acta,acta_numero,acta_periodo,superficie,etapa,long,lat,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
2019-04-08,189308,2019,0.0,Submuración y bases,-58.461045,-34.545432,"LARRALDE, CRISOLOGO AV. 1664",1664,Nuñez,Comuna 13,1429.0,C1429BST
2019-01-29,175921,2018,0.0,Demolición,-58.404509,-34.591366,LAPRIDA 1575,1575,Recoleta,Comuna 2,1425.0,C1425EKK
2019-01-10,171066,2018,0.0,Otros,-58.40754,-34.594318,LAPRIDA 1253,1253,Recoleta,Comuna 2,1425.0,C1425EKE
2019-02-27,180329,2018,0.0,Otros,-58.40754,-34.594318,LAPRIDA 1253,1253,Recoleta,Comuna 2,1425.0,C1425EKE
2019-05-16,189729,2019,0.0,Otros,-58.40754,-34.594318,LAPRIDA 1253,1253,Recoleta,Comuna 2,1425.0,C1425EKE
2019-02-11,173607,2018,0.0,Otros,-58.407571,-34.594392,LAPRIDA 1245,1245,Recoleta,Comuna 2,1425.0,C1425EKE
2019-03-21,186390,2019,0.0,Otros,-58.407571,-34.594392,LAPRIDA 1245,1245,Recoleta,Comuna 2,1425.0,C1425EKE
2019-02-11,173727,2018,0.0,Albañilería,-58.408249,-34.595879,LAPRIDA 1125,1125,Recoleta,Comuna 2,1425.0,C1425EKC
2019-03-27,186317,2019,0.0,Albañilería,-58.408249,-34.595879,LAPRIDA 1125,1125,Recoleta,Comuna 2,1425.0,C1425EKC
2019-05-20,195686,2019,0.0,Albañilería,-58.408249,-34.595879,LAPRIDA 1125,1125,Recoleta,Comuna 2,1425.0,C1425EKC
2019-03-14,157865,2018,0.0,Otros,-58.408375,-34.595853000000005,LAPRIDA 1120,1120,Recoleta,Comuna 2,1425.0,C1425EKD
2019-01-29,176979,2018,0.0,Demolición,-58.359514,-34.619253,LANTERI JULIETA 1775,1775,Puerto Madero,Comuna 1,1107.0,C1107CRK
2019-03-22,185655,2019,0.0,Demolición,-58.359514,-34.619253,LANTERI JULIETA 1775,1775,Puerto Madero,Comuna 1,1107.0,C1107CRK
2019-05-07,194976,2019,0.0,Demolición,-58.359514,-34.619253,LANTERI JULIETA 1775,1775,Puerto Madero,Comuna 1,1107.0,C1107CRK
2019-01-18,176814,2018,0.0,Terminaciones,-58.38036,-34.639296,LANIN 8,8,Barracas,Comuna 4,1274.0,C1274AEB
2019-03-29,181443,2019,0.0,Terminaciones,-58.38036,-34.639296,LANIN 8,8,Barracas,Comuna 4,1274.0,C1274AEB
2019-04-12,194680,2019,0.0,Otros,-58.42974200000001,-34.600095,LAMBARE 1181,1181,Almagro,Comuna 5,1185.0,C1185ABG
2019-01-07,171886,2018,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-02-14,179260,2018,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-02-25,187136,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-02-14,187138,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-03-13,189371,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-02-25,189372,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-03-27,192551,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-05-09,196019,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-05-09,205235,2019,0.0,Estructura en elevación,-58.46126700000001,-34.618664,"LAMAS, ANDRES 729",729,Flores,Comuna 7,1406.0,C1406BIA
2019-05-17,193603,2019,0.0,Otros,-58.47456999999999,-34.603411,"LAMAS, ANDRES 2600",2600,Paternal,Comuna 15,1416.0,C1416BJD
2019-01-25,177665,2018,0.0,Otros,-58.470294,-34.605823,"LAMAS, ANDRES 2100",2100,Villa Gral. Mitre,Comuna 11,1416.0,C1416BIT
2019-03-07,49364,2019,0.0,Otros,-58.470294,-34.605823,"LAMAS, ANDRES 2100",2100,Villa Gral. Mitre,Comuna 11,1416.0,C1416BIT
2019-03-23,191660,2019,0.0,Otros,-58.470294,-34.605823,"LAMAS, ANDRES 2100",2100,Villa Gral. Mitre,Comuna 11,1416.0,C1416BIT
2019-04-24,195047,2019,0.0,Otros,-58.470294,-34.605823,"LAMAS, ANDRES 2100",2100,Villa Gral. Mitre,Comuna 11,1416.0,C1416BIT
2019-03-08,49366,2018,2007.17,Estructura en elevación,-58.469965,-34.606072,"LAMAS, ANDRES 2071",2071,Villa Gral. Mitre,Comuna 11,1416.0,C1416BIS
